     姓名         学号     名次   科目数    成绩1    成绩2    成绩3     总分
      221          248        1        3       79       55       73      207
      188          489        2        3       44       88       71      203
    测试1          001        3        3      100       88       11      199
      726          545        4        3       76       63       54      193
      411          120        5        3       86       56       41      183
      808          675        6        3       48       45       86      179
      574          706        7        3       99       40       34      173
      754          422        8        3       11       65       96      172
 中文测试          470        9        3       15       90       57      162
      465          277       10        3       13       39       99      151
       40          819       11        3       29      100       13      142
      276          415       12        3       80       17       43      140
      753          294       13        3       72       30       37      139
     txt2          382       14        3       54       29       37      120
      351          954       15        3       52       41       26      119
      280          837       16        3        9       31       78      118
      496          119       17        3       26       20       71      117
 变长测试 201736613476       18        3       46       25       19       90
      771          762       19        3       15       62       13       90
      853          921       20        3       53       15        2       70
